"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2002","Total","June","Data tabulated by year of occurrence","Final figure, complete","2003","327588",""
"United States of America","2002","Total","July","Data tabulated by year of occurrence","Final figure, complete","2003","357669",""
"United States of America","2002","Total","August","Data tabulated by year of occurrence","Final figure, complete","2003","359417",""
"United States of America","2002","Total","September","Data tabulated by year of occurrence","Final figure, complete","2003","348814",""
"United States of America","2002","Total","October","Data tabulated by year of occurrence","Final figure, complete","2003","345814",""
"United States of America","2002","Total","November","Data tabulated by year of occurrence","Final figure, complete","2003","318573",""
"United States of America","2002","Total","December","Data tabulated by year of occurrence","Final figure, complete","2003","334256",""
"United States of America","2001","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2002","4025933",""
"United States of America","2001","Total","January","Data tabulated by year of occurrence","Final figure, complete","2002","335198",""
"United States of America","2001","Total","February","Data tabulated by year of occurrence","Final figure, complete","2002","303534",""
"United States of America","2001","Total","March","Data tabulated by year of occurrence","Final figure, complete","2002","338684",""
"United States of America","2001","Total","April","Data tabulated by year of occurrence","Final figure, complete","2002","323613",""
"United States of America","2001","Total","May","Data tabulated by year of occurrence","Final figure, complete","2002","344017",""
"United States of America","2001","Total","June","Data tabulated by year of occurrence","Final figure, complete","2002","331085",""
"United States of America","2001","Total","July","Data tabulated by year of occurrence","Final figure, complete","2002","351047",""
"United States of America","2001","Total","August","Data tabulated by year of occurrence","Final figure, complete","2002","361802",""
"United States of America","2001","Total","September","Data tabulated by year of occurrence","Final figure, complete","2002","342564",""
"United States of America","2001","Total","October","Data tabulated by year of occurrence","Final figure, complete","2002","344074",""
"United States of America","2001","Total","November","Data tabulated by year of occurrence","Final figure, complete","2002","323746",""
"United States of America","2001","Total","December","Data tabulated by year of occurrence","Final figure, complete","2002","326569",""
"United States of America","2000","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2001","4058814",""
"United States of America","2000","Total","January","Data tabulated by year of occurrence","Final figure, complete","2001","330108",""
"United States of America","2000","Total","February","Data tabulated by year of occurrence","Final figure, complete","2001","317377",""
"United States of America","2000","Total","March","Data tabulated by year of occurrence","Final figure, complete","2001","340553",""
"United States of America","2000","Total","April","Data tabulated by year of occurrence","Final figure, complete","2001","317180",""
"United States of America","2000","Total","May","Data tabulated by year of occurrence","Final figure, complete","2001","341207",""
"United States of America","2000","Total","June","Data tabulated by year of occurrence","Final figure, complete","2001","341206",""
"United States of America","2000","Total","July","Data tabulated by year of occurrence","Final figure, complete","2001","348975",""
"United States of America","2000","Total","August","Data tabulated by year of occurrence","Final figure, complete","2001","360080",""
"United States of America","2000","Total","September","Data tabulated by year of occurrence","Final figure, complete","2001","347609",""
"United States of America","2000","Total","October","Data tabulated by year of occurrence","Final figure, complete","2001","343921",""
"United States of America","2000","Total","November","Data tabulated by year of occurrence","Final figure, complete","2001","333811",""
"United States of America","2000","Total","December","Data tabulated by year of occurrence","Final figure, complete","2001","336787",""
"United States of America","1999","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2001","3959417",""
